Policy,Utility,Lower Bound,Upper Bound
"(3, 3, 1, -1, 1, nan, 3, -1, 2, 1, 2, 0)","[-0.04, -0.04, -0.04, 1.0, -0.071968, 0.0, -0.071968, -1.0, -0.0975168256, -0.11793544701952, -0.14144361245800038, -0.2529417350764339]",1.1298942434499981,3.4397781867638693
"(3, 0, 2, -1, 0, nan, 2, -1, 2, 2, 2, 1)","[-0.04, -0.04, -0.071968, 1.0, -0.043996, 0.0, -0.0471896032, -1.0, -0.04, -0.071968, -0.0471896032, -0.8439142413596801]",0.6587961541952169,0.7451043540858278
"(0, 0, 2, -1, 2, nan, 0, -1, 1, 3, 0, 2)","[-0.04, -0.043996, -0.0443952004, 1.0, -0.071968, 0.0, -0.04, -1.0, -0.04, -0.043996, -0.0443952004, -0.17538064415968002]",0.22636543988952035,0.23760047174786283
"(2, 2, 3, -1, 2, nan, 2, -1, 1, 2, 2, 3)","[-0.04, -0.043996, -0.0443952004, 1.0, -0.04, 0.0, -0.07548064415968, -1.0, -0.043996, -0.04, -0.10432013081241626, -0.05042158106816039]",0.662396123906562,0.749563129237691
"(1, 1, 2, -1, 1, nan, 1, -1, 2, 3, 2, 3)","[-0.04, -0.043996, -0.04, 1.0, -0.04, 0.0, -0.04, -1.0, -0.043996, -0.0443952004, -0.04443508051996, -0.1399]",0.6650430573661743,0.7535180553712849
"(3, 0, 0, -1, 0, nan, 3, -1, 2, 1, 3, 2)","[-0.04, -0.071968, -0.0471896032, 1.0, -0.043996, 0.0, -0.04471424135968, -1.0, -0.04, -0.04, -0.043996, -0.1399]",2.0847769367549915,2.63664039239854
"(2, 2, 2, -1, 2, nan, 2, -1, 2, 3, 2, 1)","[-0.04, -0.043996, -0.0443952004, 1.0, -0.071968, 0.0, -0.04443508051996, -1.0, -0.04, -0.071968, -0.044439064543944, -0.044439462547940005]",0.6638421836274894,0.7495411863051258
"(2, 3, 1, -1, 3, nan, 3, -1, 0, 1, 1, 0)","[-0.04, -0.043996, -0.0443952004, 1.0, -0.04, 0.0, -0.04, -1.0, -0.04, -0.04, -0.043996, -0.17506160320000003]",1.811992981281229,2.636640373525476
"(1, 0, 1, -1, 0, nan, 3, -1, 1, 1, 2, 3)","[-0.04, -0.04, -0.071968, 1.0, -0.043996, 0.0, -0.0471896032, -1.0, -0.07516160320000001, -0.10006915327744001, -0.12468950865901007, -0.8516564819150352]",1.0808313086842567,2.5172555922222957
"(1, 3, 1, -1, 3, nan, 3, -1, 0, 2, 3, 1)","[-0.04, -0.043996, -0.07516160320000001, 1.0, -0.071968, 0.0, -0.04750864415968, -1.0, -0.0471896032, -0.07771393087744, -0.047763621694656255, -0.1399]",1.6156395718481236,1.8603108643753903
"(1, 2, 3, -1, 3, nan, 1, -1, 0, 2, 3, 2)","[-0.04, -0.04, -0.071968, 1.0, -0.043996, 0.0, -0.0471896032, -1.0, -0.07516160320000001, -0.04750864415968, -0.04471424135968, -0.17563562169465627]",1.7664936292098263,2.672176432417027
"(2, 0, 1, -1, 3, nan, 3, -1, 1, 0, 2, 2)","[-0.04, -0.043996, -0.04, 1.0, -0.043996, 0.0, -0.043996, -1.0, -0.07516160320000001, -0.04750864415968, -0.0443952004, -0.04443508051996]",1.7433527406649638,2.6113351544416807
"(3, 2, 0, -1, 1, nan, 0, -1, 2, 3, 3, 2)","[-0.04, -0.043996, -0.07516160320000001, 1.0, -0.043996, 0.0, -0.04750864415968, -1.0, -0.0443952004, -0.04443508051996, -0.044439064543944, -0.044439462547940005]",1.5023932692769433,2.087074795889821
"(1, 0, 0, -1, 0, nan, 2, -1, 3, 0, 3, 0)","[-0.04, -0.043996, -0.0443952004, 1.0, -0.043996, 0.0, -0.07548064415968, -1.0, -0.04, -0.04, -0.047540516351552035, -0.04474929758352005]",2.0715705861213767,2.30234308849275
"(2, 2, 0, -1, 0, nan, 1, -1, 3, 1, 0, 3)","[-0.04, -0.043996, -0.0443952004, 1.0, -0.071968, 0.0, -0.04, -1.0, -0.0471896032, -0.04471424135968, -0.043996, -0.8435952004]",2.3574759547490496,3.3656992490163624
"(2, 1, 2, -1, 3, nan, 0, -1, 1, 3, 0, 1)","[-0.04, -0.043996, -0.0443952004, 1.0, -0.071968, 0.0, -0.04443508051996, -1.0, -0.0471896032, -0.07771393087744, -0.08327613804620829, -0.1399]",2.12942219554879,2.6836457582827693
"(2, 0, 1, -1, 2, nan, 0, -1, 0, 2, 2, 2)","[-0.04, -0.071968, -0.0471896032, 1.0, -0.043996, 0.0, -0.07771393087744, -1.0, -0.0443952004, -0.04, -0.10610497355725004, -0.22469909486695425]",1.468848181066332,1.8594977780491098
"(2, 1, 0, -1, 1, nan, 2, -1, 0, 3, 3, 1)","[-0.04, -0.043996, -0.07516160320000001, 1.0, -0.04, 0.0, -0.10006915327744001, -1.0, -0.071968, -0.0471896032, -0.04471424135968, -0.044466952711832035]",1.3781149491683762,1.4353143904281618
"(1, 1, 0, -1, 0, nan, 2, -1, 1, 2, 3, 3)","[-0.04, -0.071968, -0.0471896032, 1.0, -0.043996, 0.0, -0.04, -1.0, -0.07516160320000001, -0.04, -0.043996, -0.17506160320000003]",1.5395483259547063,2.4619014262727004
"(1, 1, 1, -1, 0, nan, 0, -1, 1, 1, 1, 3)","[-0.04, -0.071968, -0.0471896032, 1.0, -0.071968, 0.0, -0.04, -1.0, -0.0471896032, -0.04471424135968, -0.043996, -0.1399]",1.6109219971941784,1.8898962327524023
"(0, 1, 2, -1, 2, nan, 3, -1, 0, 3, 3, 1)","[-0.04, -0.071968, -0.0975168256, 1.0, -0.071968, 0.0, -0.11793544701952, -1.0, -0.0471896032, -0.07771393087744, -0.1138907247145001, -0.1399]",1.6138316809578483,1.8750340958171663
"(0, 3, 0, -1, 3, nan, 1, -1, 1, 0, 1, 3)","[-0.04, -0.071968, -0.0471896032, 1.0, -0.04, 0.0, -0.04471424135968, -1.0, -0.071968, -0.04, -0.044466952711832035, -0.17543798860729617]",2.430907103814197,3.3119231829774396
"(0, 0, 3, -1, 3, nan, 0, -1, 0, 2, 0, 0)","[-0.04, -0.04, -0.043996, 1.0, -0.043996, 0.0, -0.0443952004, -1.0, -0.0443952004, -0.04443508051996, -0.07994759687151204, -0.1399]",1.9113666692669826,2.2746742316649557
"(2, 3, 0, -1, 2, nan, 2, -1, 2, 0, 0, 2)","[-0.04, -0.043996, -0.04, 1.0, -0.043996, 0.0, -0.071968, -1.0, -0.07516160320000001, -0.04750864415968, -0.10226293915155203, -0.8494160676212401]",1.6959030124475685,2.8618877547990462
"(1, 1, 2, -1, 2, nan, 0, -1, 2, 1, 0, 2)","[-0.04, -0.04, -0.043996, 1.0, -0.04, 0.0, -0.04, -1.0, -0.04, -0.043996, -0.0763632004, -0.04762868371996]",1.614003456581392,1.7384644362773818
"(3, 1, 3, -1, 0, nan, 2, -1, 3, 3, 3, 1)","[-0.04, -0.071968, -0.0471896032, 1.0, -0.04, 0.0, -0.07771393087744, -1.0, -0.04, -0.071968, -0.10929857675725005, -0.050918927818049284]",0.6617927422556955,0.7466861137338103
"(2, 3, 0, -1, 0, nan, 0, -1, 2, 3, 1, 0)","[-0.04, -0.071968, -0.04, 1.0, -0.071968, 0.0, -0.04, -1.0, -0.0471896032, -0.04, -0.043996, -0.17506160320000003]",2.4573793263603525,18.177938629707402
"(2, 0, 1, -1, 0, nan, 2, -1, 1, 0, 2, 3)","[-0.04, -0.04, -0.043996, 1.0, -0.071968, 0.0, -0.07516160320000001, -1.0, -0.04, -0.04, -0.07947664415968, -0.8471397167515521]",2.267868099890344,2.8475204480206306
"(1, 0, 1, -1, 3, nan, 3, -1, 1, 0, 1, 3)","[-0.04, -0.043996, -0.07516160320000001, 1.0, -0.071968, 0.0, -0.04, -1.0, -0.0471896032, -0.04471424135968, -0.044466952711832035, -0.1399]",1.8429741542576499,2.1216908461748814
"(0, 0, 0, -1, 0, nan, 3, -1, 1, 3, 1, 2)","[-0.04, -0.043996, -0.07516160320000001, 1.0, -0.043996, 0.0, -0.04750864415968, -1.0, -0.0443952004, -0.04443508051996, -0.08025862990310406, -0.1399]",1.2759279795267946,1.3124650308253878
"(0, 0, 2, -1, 3, nan, 3, -1, 3, 3, 3, 1)","[-0.04, -0.043996, -0.0443952004, 1.0, -0.071968, 0.0, -0.04443508051996, -1.0, -0.0471896032, -0.04, -0.07640706454394401, -0.047633065747940004]",1.2581079965705824,1.2634075137271086
